created_at	volume	rank	twitter_id	text	show_text
2016-05-28 17:00:00	87				
2016-05-28 17:01:00	57				
2016-05-28 17:02:00	51				
2016-05-28 17:03:00	44				
2016-05-28 17:04:00	70				
2016-05-28 17:05:00	68				
2016-05-28 17:06:00	55				
2016-05-28 17:07:00	51				
2016-05-28 17:08:00	59				
2016-05-28 17:09:00	61				
2016-05-28 17:10:00	59				
2016-05-28 17:11:00	64				
2016-05-28 17:12:00	58				
2016-05-28 17:13:00	46				
2016-05-28 17:14:00	53				
2016-05-28 17:15:00	71				
2016-05-28 17:16:00	50				
2016-05-28 17:17:00	54				
2016-05-28 17:18:00	60				
2016-05-28 17:19:00	61				
2016-05-28 17:20:00	66				
2016-05-28 17:21:00	78				
2016-05-28 17:22:00	64				
2016-05-28 17:23:00	96				
2016-05-28 17:24:00	86				
2016-05-28 17:25:00	61				
2016-05-28 17:26:00	75				
2016-05-28 17:27:00	70				
2016-05-28 17:28:00	52				
2016-05-28 17:29:00	66				
2016-05-28 17:30:00	83				
2016-05-28 17:31:00	60				
2016-05-28 17:32:00	70				
2016-05-28 17:33:00	64				
2016-05-28 17:34:00	72				
2016-05-28 17:35:00	69				
2016-05-28 17:36:00	73				
2016-05-28 17:37:00	53				
2016-05-28 17:38:00	70				
2016-05-28 17:39:00	76				
2016-05-28 17:40:00	93				
2016-05-28 17:41:00	88				
2016-05-28 17:42:00	83				
2016-05-28 17:43:00	76				
2016-05-28 17:44:00	92				
2016-05-28 17:45:00	140				
2016-05-28 17:46:00	87				
2016-05-28 17:47:00	110				
2016-05-28 17:48:00	104				
2016-05-28 17:49:00	133				
2016-05-28 17:50:00	148				
2016-05-28 17:51:00	83				
2016-05-28 17:52:00	95				
2016-05-28 17:53:00	80				
2016-05-28 17:54:00	73				
2016-05-28 17:55:00	105				
2016-05-28 17:56:00	96				
2016-05-28 17:57:00	92				
2016-05-28 17:58:00	115				
2016-05-28 17:59:00	87				
2016-05-28 18:00:00	205				
2016-05-28 18:01:00	128				
2016-05-28 18:02:00	130				
2016-05-28 18:03:00	164				
2016-05-28 18:04:00	140				
2016-05-28 18:05:00	134				
2016-05-28 18:06:00	163				
2016-05-28 18:07:00	168				
2016-05-28 18:08:00	148				
2016-05-28 18:09:00	160				
2016-05-28 18:10:00	195				
2016-05-28 18:11:00	184				
2016-05-28 18:12:00	137				
2016-05-28 18:13:00	171				
2016-05-28 18:14:00	160				
2016-05-28 18:15:00	204				
2016-05-28 18:16:00	181				
2016-05-28 18:17:00	166				
2016-05-28 18:18:00	166				
2016-05-28 18:19:00	172				
2016-05-28 18:20:00	231				
2016-05-28 18:21:00	256				
2016-05-28 18:22:00	195				
2016-05-28 18:23:00	188				
2016-05-28 18:24:00	185				
2016-05-28 18:25:00	224				
2016-05-28 18:26:00	216				
2016-05-28 18:27:00	232				
2016-05-28 18:28:00	247				
2016-05-28 18:29:00	248				
2016-05-28 18:30:00	355				
2016-05-28 18:31:00	333				
2016-05-28 18:32:00	332				
2016-05-28 18:33:00	341				
2016-05-28 18:34:00	409				
2016-05-28 18:35:00	386				
2016-05-28 18:36:00	382				
2016-05-28 18:37:00	670	18.0	736627509953998848	Alicia Keys performing #UCLFinal	alicia keys
2016-05-28 18:38:00	773				
2016-05-28 18:39:00	979	22.0	736628022015623168	Huh? Why the fuck is Alicia Keys singing - this girl is on fire - at a Champions League final? #uclfinal	alicia keys
2016-05-28 18:40:00	971				
